Event Name,Event Type,Total Participants,Total Teams
VISITOR_PASS,Individual,146,
DANCE BATTLE,Team,133,8
IN CONVERSATION WITH,Individual,94,
BGMI TOURNAMENT,Team,84,19
FREE FIRE TOURNAMENT,Team,45,11
VALORANT TOURNAMENT,Team,40,8
RAMPWALK - PANACHE,Team,32,3
DUMB SHOW,Individual,29,
CLAY MODELLING,Individual,27,
Demo Payment,Individual,19,
BANDJAM,Team,19,4
STEP UP,Individual,16,
BAND JAM,Individual,15,
SEAL THE DEAL,Individual,14,
VERSEVAAD,Individual,8,
ECHOES OF NOOR,Individual,6,
ART RELAY,Team,5,1
COURTROOM,Team,5,1
BIDDING BEFORE WICKET,Team,4,1
FOCUS,Team,4,1
"FOCUS ,",Individual,1,
BGMI,Individual,1,
