Event Name,Unique Users,Total Registrations
VISITOR_PASS,137,137
DANCE BATTLE,134,134
BIDDING BEFORE WICKET,102,102
IN CONVERSATION WITH,94,94
COURTROOM,65,65
BGMI TOURNAMENT,63,63
FREE FIRE TOURNAMENT,46,46
VALORANT TOURNAMENT,40,40
RAMPWALK - PANACHE,32,32
DUMB SHOW,29,29
CLAY MODELLING,27,27
FOCUS,25,25
ART RELAY,19,19
Demo Payment,19,19
STEP UP,16,16
BAND JAM,15,15
SEAL THE DEAL,14,14
BANDJAM,12,12
VERSEVAAD,8,8
ECHOES OF NOOR,6,6
VISITOR PASS,3,3
Visitor Pass,2,2
VISITOR PASS (1 DAY),2,2
"FOCUS ,",1,1
BGMI,1,1
VISITOR PASS 3 DAYS,1,1
VISITOR PASS 1 day,1,1
